Site,Unit_ID,Pasture_Type,Treatment,Point_ID,Year,Season,Species_Code,Species_Name,Sampling_Type,Live_Species_Cover_pct,Standing_Dead_Cover_pct,Total_Species_Cover_pct,Comments
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1453,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1454,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1455,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1456,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1457,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1458,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1459,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1460,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1461,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1462,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1463,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1464,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,1465,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1466,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1467,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1468,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1469,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1470,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1471,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1472,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1475,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1476,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1477,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1478,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1479,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,1480,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1481,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1482,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1483,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1485,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1486,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1489,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1491,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,1494,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,West_Marsh_Block_1_Sector_2,SN,ASP,1692,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,1714,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,1718,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_1,IMP,BAU,1326,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_2,IMP,BAU,1331,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_3,IMP,BAU,1346,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Shop_Field_Block_Sector_3,IMP,BAU,1360,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1001,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1002,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1003,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1004,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1007,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1008,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1009,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1010,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1011,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1013,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_1,IMP,ASP,1015,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1032,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1033,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1034,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1035,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1036,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1037,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1040,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1041,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_2,IMP,ASP,1043,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1016,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1017,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1018,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1019,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1020,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1021,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1022,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1023,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1024,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1025,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1026,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1027,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1028,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1029,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_2_Sector_3,IMP,ASP,1030,2017,Fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3420,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3421,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3422,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3423,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3424,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3425,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3426,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3427,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3428,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3429,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3710,2018,fall,AESAME,Aeschynomene americana,cover,25,0,25,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3711,2018,fall,AESAME,Aeschynomene americana,cover,15,0,15,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3712,2018,fall,AESAME,Aeschynomene americana,cover,12,0,12,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3713,2018,fall,AESAME,Aeschynomene americana,cover,55,0,55,NA
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,3714,2018,fall,AESAME,Aeschynomene americana,cover,12,0,12,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3430,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3431,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3432,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3433,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3434,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3435,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3436,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3437,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3439,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3715,2018,fall,AESAME,Aeschynomene americana,cover,5,0,5,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3716,2018,fall,AESAME,Aeschynomene americana,cover,17,0,17,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3717,2018,fall,AESAME,Aeschynomene americana,cover,3,0,3,NA
ABS-UF,Tropical_West_Block_1_Sector_2,IMP,BAU,3719,2018,fall,AESAME,Aeschynomene americana,cover,25,0,25,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3440,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3442,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3443,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3444,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3446,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3447,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
ABS-UF,Tropical_West_Block_1_Sector_3,IMP,BAU,3448,2018,fall,AESAME,Aeschynomene americana,presence,NA,NA,NA,NA
