Treatment,Block,PastureCode,Plot,Ecosite,Year,GRSP_point
AGM,10,20NW,5,Salt Flats,2014,4
AGM,10,20NW,6,Salt Flats,2014,3
TGM,1,15E,1,Loamy,2014,1
TGM,1,15E,2,Loamy,2014,2
TGM,1,15E,3,Loamy,2014,0
TGM,1,15E,4,Loamy,2014,0
TGM,2,24W,1,Loamy,2014,0
TGM,2,24W,2,Loamy,2014,0
TGM,2,24W,3,Loamy,2014,0
TGM,2,24W,4,Loamy,2014,0
TGM,3,26E,1,Loamy,2014,3
TGM,3,26E,2,Loamy,2014,2
TGM,3,26E,3,Loamy,2014,2
TGM,3,26E,4,Loamy,2014,0
TGM,4,25SE,1,Loamy,2014,2
TGM,4,25SE,2,Loamy,2014,1
TGM,4,25SE,3,Loamy,2014,1
TGM,4,25SE,4,Loamy,2014,1
TGM,5,31E,1,Loamy,2014,1
TGM,5,31E,2,Loamy,2014,2
TGM,5,31E,3,Loamy,2014,1
TGM,5,31E,4,Sandy,2014,1
TGM,6,19N,1,Sandy,2014,4
TGM,6,19N,2,Sandy,2014,1
TGM,6,19N,3,Sandy,2014,0
TGM,6,19N,4,Sandy,2014,0
TGM,7,7NW,1,Loamy,2014,2
TGM,7,7NW,2,Loamy,2014,1
TGM,7,7NW,3,Sandy,2014,3
TGM,7,7NW,4,Loamy,2014,1
TGM,7,7NW,5,Salt Flats,2014,1
TGM,7,7NW,6,Salt Flats,2014,3
TGM,8,5E,1,Loamy,2014,0
TGM,8,5E,2,Sandy,2014,0
TGM,8,5E,3,Loamy,2014,0
TGM,8,5E,4,Sandy,2014,2
TGM,9,17N,1,Loamy,2014,1
TGM,9,17N,2,Loamy,2014,0
TGM,9,17N,3,Salt Flats,2014,5
TGM,9,17N,4,Salt Flats,2014,2
TGM,9,17N,5,Sandy,2014,4
TGM,9,17N,6,Sandy,2014,4
TGM,10,20SE,1,Sandy,2014,1
TGM,10,20SE,2,Sandy,2014,4
TGM,10,20SE,3,Sandy,2014,3
TGM,10,20SE,5,Salt Flats,2014,2
TGM,10,20SE,6,Salt Flats,2014,3
TGM,10,20SE,4,Sandy,2014,3
AGM,1,NH,1,Loamy,2015,3
AGM,1,NH,2,Loamy,2015,7
AGM,1,NH,3,Loamy,2015,1
AGM,1,NH,4,Loamy,2015,1
AGM,2,21N,1,Loamy,2015,3
AGM,2,21N,2,Loamy,2015,5
AGM,2,21N,3,Loamy,2015,3
AGM,2,21N,4,Loamy,2015,2
AGM,3,26W,1,Loamy,2015,2
AGM,3,26W,2,Loamy,2015,0
AGM,3,26W,3,Loamy,2015,1
AGM,3,26W,4,Loamy,2015,0
AGM,4,25NW,1,Loamy,2015,0
AGM,4,25NW,2,Loamy,2015,0
AGM,4,25NW,3,Loamy,2015,1
AGM,4,25NW,4,Loamy,2015,4
AGM,5,31W,1,Loamy,2015,2
AGM,5,31W,2,Loamy,2015,0
AGM,5,31W,3,Loamy,2015,2
AGM,5,31W,4,Sandy,2015,1
AGM,6,18S,1,Sandy,2015,4
AGM,6,18S,2,Sandy,2015,4
AGM,6,18S,3,Sandy,2015,6
AGM,6,18S,4,Sandy,2015,3
AGM,6,18S,5,Sandy,2015,0
AGM,6,18S,6,Sandy,2015,0
AGM,7,7SE,1,Loamy,2015,1
AGM,7,7SE,2,Loamy,2015,4
AGM,7,7SE,3,Loamy,2015,3
AGM,7,7SE,4,Sandy,2015,4
AGM,7,7SE,5,Salt Flats,2015,5
AGM,7,7SE,6,Salt Flats,2015,3
AGM,8,8E,1,Loamy,2015,2
AGM,8,8E,2,Sandy,2015,3
AGM,8,8E,3,Loamy,2015,1
AGM,8,8E,4,Sandy,2015,1
AGM,9,17S,1,Loamy,2015,0
AGM,9,17S,2,Loamy,2015,0
AGM,9,17S,3,Salt Flats,2015,5
AGM,9,17S,4,Salt Flats,2015,5
AGM,9,17S,5,Sandy,2015,2
AGM,9,17S,6,Sandy,2015,6
AGM,10,20NW,1,Sandy,2015,6
AGM,10,20NW,2,Sandy,2015,7
AGM,10,20NW,3,Sandy,2015,5
AGM,10,20NW,4,Sandy,2015,7
AGM,10,20NW,5,Salt Flats,2015,8
AGM,10,20NW,6,Salt Flats,2015,8
TGM,1,15E,1,Loamy,2015,0
TGM,1,15E,2,Loamy,2015,0
TGM,1,15E,3,Loamy,2015,3
TGM,1,15E,4,Loamy,2015,4
TGM,2,24W,1,Loamy,2015,0
TGM,2,24W,2,Loamy,2015,0
TGM,2,24W,3,Loamy,2015,1
TGM,2,24W,4,Loamy,2015,2
TGM,3,26E,1,Loamy,2015,1
TGM,3,26E,2,Loamy,2015,1
TGM,3,26E,3,Loamy,2015,1
TGM,3,26E,4,Loamy,2015,1
TGM,4,25SE,1,Loamy,2015,2
TGM,4,25SE,2,Loamy,2015,1
TGM,4,25SE,3,Loamy,2015,0
TGM,4,25SE,4,Loamy,2015,1
TGM,5,31E,1,Loamy,2015,0
TGM,5,31E,2,Loamy,2015,2
TGM,5,31E,3,Loamy,2015,0
TGM,5,31E,4,Sandy,2015,1
TGM,6,19N,1,Sandy,2015,5
TGM,6,19N,2,Sandy,2015,4
TGM,6,19N,3,Sandy,2015,3
TGM,6,19N,4,Sandy,2015,5
TGM,7,7NW,1,Loamy,2015,3
TGM,7,7NW,2,Loamy,2015,1
TGM,7,7NW,3,Sandy,2015,2
TGM,7,7NW,4,Loamy,2015,1
TGM,7,7NW,5,Salt Flats,2015,4
TGM,7,7NW,6,Salt Flats,2015,3
TGM,8,5E,1,Loamy,2015,2
TGM,8,5E,2,Sandy,2015,4
TGM,8,5E,3,Loamy,2015,1
TGM,8,5E,4,Sandy,2015,3
TGM,9,17N,1,Loamy,2015,4
TGM,9,17N,2,Loamy,2015,1
TGM,9,17N,3,Salt Flats,2015,4
TGM,9,17N,4,Salt Flats,2015,8
TGM,9,17N,5,Sandy,2015,5
TGM,9,17N,6,Sandy,2015,8
TGM,10,20SE,1,Sandy,2015,9
TGM,10,20SE,2,Sandy,2015,8
TGM,10,20SE,3,Sandy,2015,9
TGM,10,20SE,5,Salt Flats,2015,8
TGM,10,20SE,6,Salt Flats,2015,11
TGM,10,20SE,4,Sandy,2015,8
AGM,1,NH,1,Loamy,2016,0
AGM,1,NH,2,Loamy,2016,0
AGM,1,NH,3,Loamy,2016,0
AGM,1,NH,4,Loamy,2016,0
AGM,2,21N,1,Loamy,2016,1
AGM,2,21N,2,Loamy,2016,0
AGM,2,21N,3,Loamy,2016,0
AGM,2,21N,4,Loamy,2016,0
AGM,3,26W,1,Loamy,2016,1
AGM,3,26W,2,Loamy,2016,0
AGM,3,26W,3,Loamy,2016,1
AGM,3,26W,4,Loamy,2016,1
AGM,4,25NW,1,Loamy,2016,1
AGM,4,25NW,2,Loamy,2016,1
AGM,4,25NW,3,Loamy,2016,4
AGM,4,25NW,4,Loamy,2016,3
AGM,5,31W,1,Loamy,2016,6
AGM,5,31W,2,Loamy,2016,1
AGM,5,31W,3,Loamy,2016,3
AGM,5,31W,4,Sandy,2016,3
AGM,6,18S,1,Sandy,2016,6
AGM,6,18S,2,Sandy,2016,3
AGM,6,18S,3,Sandy,2016,1
AGM,6,18S,4,Sandy,2016,3
AGM,6,18S,5,Sandy,2016,0
AGM,6,18S,6,Sandy,2016,0
AGM,7,7SE,1,Loamy,2016,1
AGM,7,7SE,2,Loamy,2016,1
AGM,7,7SE,3,Loamy,2016,2
AGM,7,7SE,4,Sandy,2016,4
AGM,7,7SE,5,Salt Flats,2016,5
AGM,7,7SE,6,Salt Flats,2016,7
AGM,8,8E,1,Loamy,2016,2
AGM,8,8E,2,Sandy,2016,4
AGM,8,8E,3,Loamy,2016,0
AGM,8,8E,4,Sandy,2016,0
AGM,9,17S,1,Loamy,2016,0
AGM,9,17S,2,Loamy,2016,0
AGM,9,17S,3,Salt Flats,2016,2
AGM,9,17S,4,Salt Flats,2016,1
AGM,9,17S,5,Sandy,2016,0
AGM,9,17S,6,Sandy,2016,4
AGM,10,20NW,1,Sandy,2016,5
AGM,10,20NW,2,Sandy,2016,3
AGM,10,20NW,3,Sandy,2016,5
AGM,10,20NW,4,Sandy,2016,6
AGM,10,20NW,5,Salt Flats,2016,6
AGM,10,20NW,6,Salt Flats,2016,5
TGM,1,15E,1,Loamy,2016,0
TGM,1,15E,2,Loamy,2016,1
TGM,1,15E,3,Loamy,2016,0
TGM,1,15E,4,Loamy,2016,1
TGM,2,24W,1,Loamy,2016,3
TGM,2,24W,2,Loamy,2016,0
TGM,2,24W,3,Loamy,2016,0
TGM,2,24W,4,Loamy,2016,0
TGM,3,26E,1,Loamy,2016,3
TGM,3,26E,2,Loamy,2016,1
TGM,3,26E,3,Loamy,2016,0
TGM,3,26E,4,Loamy,2016,0
TGM,4,25SE,1,Loamy,2016,0
TGM,4,25SE,2,Loamy,2016,0
TGM,4,25SE,3,Loamy,2016,0
TGM,4,25SE,4,Loamy,2016,0
TGM,5,31E,1,Loamy,2016,1
TGM,5,31E,2,Loamy,2016,2
TGM,5,31E,3,Loamy,2016,1
TGM,5,31E,4,Sandy,2016,5
TGM,6,19N,1,Sandy,2016,2
TGM,6,19N,2,Sandy,2016,0
TGM,6,19N,3,Sandy,2016,2
TGM,6,19N,4,Sandy,2016,2
TGM,7,7NW,1,Loamy,2016,0
TGM,7,7NW,2,Loamy,2016,0
TGM,7,7NW,3,Sandy,2016,0
TGM,7,7NW,4,Loamy,2016,0
TGM,7,7NW,5,Salt Flats,2016,4
TGM,7,7NW,6,Salt Flats,2016,4
TGM,8,5E,1,Loamy,2016,0
TGM,8,5E,2,Sandy,2016,1
TGM,8,5E,3,Loamy,2016,1
TGM,8,5E,4,Sandy,2016,3
TGM,9,17N,1,Loamy,2016,0
TGM,9,17N,2,Loamy,2016,0
TGM,9,17N,3,Salt Flats,2016,2
TGM,9,17N,4,Salt Flats,2016,2
TGM,9,17N,5,Sandy,2016,2
TGM,9,17N,6,Sandy,2016,2
TGM,10,20SE,1,Sandy,2016,6
TGM,10,20SE,2,Sandy,2016,5
TGM,10,20SE,3,Sandy,2016,3
TGM,10,20SE,5,Salt Flats,2016,5
TGM,10,20SE,6,Salt Flats,2016,8
TGM,10,20SE,4,Sandy,2016,3
AGM,1,NH,1,Loamy,2017,3
AGM,1,NH,2,Loamy,2017,1
AGM,1,NH,3,Loamy,2017,0
AGM,1,NH,4,Loamy,2017,1
AGM,2,21N,1,Loamy,2017,2
AGM,2,21N,2,Loamy,2017,0
AGM,2,21N,3,Loamy,2017,2
AGM,2,21N,4,Loamy,2017,1
AGM,3,26W,1,Loamy,2017,0
AGM,3,26W,2,Loamy,2017,0
AGM,3,26W,3,Loamy,2017,0
AGM,3,26W,4,Loamy,2017,0
AGM,4,25NW,1,Loamy,2017,0
AGM,4,25NW,2,Loamy,2017,2
AGM,4,25NW,3,Loamy,2017,1
AGM,4,25NW,4,Loamy,2017,2
AGM,5,31W,1,Loamy,2017,0
AGM,5,31W,2,Loamy,2017,0
AGM,5,31W,3,Loamy,2017,0
AGM,5,31W,4,Sandy,2017,2
AGM,6,18S,1,Sandy,2017,0
AGM,6,18S,2,Sandy,2017,0
AGM,6,18S,3,Sandy,2017,0
AGM,6,18S,4,Sandy,2017,0
AGM,6,18S,5,Sandy,2017,1
AGM,6,18S,6,Sandy,2017,0
AGM,7,7SE,1,Loamy,2017,0
AGM,7,7SE,2,Loamy,2017,0
AGM,7,7SE,3,Loamy,2017,0
AGM,7,7SE,4,Sandy,2017,2
AGM,7,7SE,5,Salt Flats,2017,2
AGM,7,7SE,6,Salt Flats,2017,5
AGM,8,8E,1,Loamy,2017,4
AGM,8,8E,2,Sandy,2017,2
AGM,8,8E,3,Loamy,2017,1
AGM,8,8E,4,Sandy,2017,1
AGM,9,17S,1,Loamy,2017,0
AGM,9,17S,2,Loamy,2017,0
AGM,9,17S,3,Salt Flats,2017,2
AGM,9,17S,4,Salt Flats,2017,4
AGM,9,17S,5,Sandy,2017,1
AGM,9,17S,6,Sandy,2017,4
AGM,10,20NW,1,Sandy,2017,4
AGM,10,20NW,2,Sandy,2017,5
AGM,10,20NW,3,Sandy,2017,4
AGM,10,20NW,4,Sandy,2017,3
AGM,10,20NW,5,Salt Flats,2017,7
AGM,10,20NW,6,Salt Flats,2017,7
TGM,1,15E,1,Loamy,2017,0
TGM,1,15E,2,Loamy,2017,0
TGM,1,15E,3,Loamy,2017,0
TGM,1,15E,4,Loamy,2017,2
TGM,2,24W,1,Loamy,2017,3
TGM,2,24W,2,Loamy,2017,0
TGM,2,24W,3,Loamy,2017,0
TGM,2,24W,4,Loamy,2017,0
TGM,3,26E,1,Loamy,2017,0
TGM,3,26E,2,Loamy,2017,0
TGM,3,26E,3,Loamy,2017,0
TGM,3,26E,4,Loamy,2017,0
TGM,4,25SE,1,Loamy,2017,0
TGM,4,25SE,2,Loamy,2017,0
TGM,4,25SE,3,Loamy,2017,0
TGM,4,25SE,4,Loamy,2017,0
TGM,5,31E,1,Loamy,2017,0
TGM,5,31E,2,Loamy,2017,0
TGM,5,31E,3,Loamy,2017,1
TGM,5,31E,4,Sandy,2017,2
TGM,6,19N,1,Sandy,2017,0
TGM,6,19N,2,Sandy,2017,0
TGM,6,19N,3,Sandy,2017,0
TGM,6,19N,4,Sandy,2017,2
TGM,7,7NW,1,Loamy,2017,3
TGM,7,7NW,2,Loamy,2017,0
TGM,7,7NW,3,Sandy,2017,0
TGM,7,7NW,4,Loamy,2017,0
TGM,7,7NW,5,Salt Flats,2017,2
TGM,7,7NW,6,Salt Flats,2017,4
TGM,8,5E,1,Loamy,2017,1
TGM,8,5E,2,Sandy,2017,2
TGM,8,5E,3,Loamy,2017,1
TGM,8,5E,4,Sandy,2017,2
TGM,9,17N,1,Loamy,2017,0
TGM,9,17N,2,Loamy,2017,0
TGM,9,17N,3,Salt Flats,2017,5
TGM,9,17N,4,Salt Flats,2017,5
TGM,9,17N,5,Sandy,2017,1
TGM,9,17N,6,Sandy,2017,3
TGM,10,20SE,1,Sandy,2017,3
TGM,10,20SE,2,Sandy,2017,5
TGM,10,20SE,3,Sandy,2017,3
TGM,10,20SE,5,Salt Flats,2017,7
TGM,10,20SE,6,Salt Flats,2017,5
TGM,10,20SE,4,Sandy,2017,1
AGM,1,NH,1,Loamy,2018,4
AGM,1,NH,2,Loamy,2018,0
AGM,1,NH,3,Loamy,2018,4
AGM,1,NH,4,Loamy,2018,2
AGM,2,21N,1,Loamy,2018,3
AGM,2,21N,2,Loamy,2018,1
AGM,2,21N,3,Loamy,2018,3
AGM,2,21N,4,Loamy,2018,4
AGM,3,26W,1,Loamy,2018,2
AGM,3,26W,2,Loamy,2018,3
AGM,3,26W,3,Loamy,2018,3
AGM,3,26W,4,Loamy,2018,3
AGM,4,25NW,1,Loamy,2018,1
AGM,4,25NW,2,Loamy,2018,2
AGM,4,25NW,3,Loamy,2018,3
AGM,4,25NW,4,Loamy,2018,1
AGM,5,31W,1,Loamy,2018,4
AGM,5,31W,2,Loamy,2018,4
AGM,5,31W,3,Loamy,2018,5
AGM,5,31W,4,Sandy,2018,3
AGM,6,18S,1,Sandy,2018,2
AGM,6,18S,2,Sandy,2018,2
AGM,6,18S,3,Sandy,2018,1
AGM,6,18S,4,Sandy,2018,0
AGM,6,18S,5,Sandy,2018,0
AGM,6,18S,6,Sandy,2018,0
AGM,7,7SE,1,Loamy,2018,2
AGM,7,7SE,2,Loamy,2018,3
AGM,7,7SE,3,Loamy,2018,3
AGM,7,7SE,4,Sandy,2018,5
AGM,7,7SE,5,Salt Flats,2018,3
AGM,7,7SE,6,Salt Flats,2018,5
AGM,8,8E,1,Loamy,2018,3
AGM,8,8E,2,Sandy,2018,4
AGM,8,8E,3,Loamy,2018,4
AGM,8,8E,4,Sandy,2018,3
AGM,9,17S,1,Loamy,2018,3
AGM,9,17S,2,Loamy,2018,0
AGM,9,17S,3,Salt Flats,2018,7
AGM,9,17S,4,Salt Flats,2018,4
AGM,9,17S,5,Sandy,2018,2
AGM,9,17S,6,Sandy,2018,6
AGM,10,20NW,1,Sandy,2018,2
AGM,10,20NW,2,Sandy,2018,6
AGM,10,20NW,3,Sandy,2018,6
AGM,10,20NW,4,Sandy,2018,0
AGM,10,20NW,5,Salt Flats,2018,11
AGM,10,20NW,6,Salt Flats,2018,9
TGM,1,15E,1,Loamy,2018,4
TGM,1,15E,2,Loamy,2018,2
TGM,1,15E,3,Loamy,2018,3
TGM,1,15E,4,Loamy,2018,4
TGM,2,24W,1,Loamy,2018,3
TGM,2,24W,2,Loamy,2018,3
TGM,2,24W,3,Loamy,2018,2
TGM,2,24W,4,Loamy,2018,4
TGM,3,26E,1,Loamy,2018,4
TGM,3,26E,2,Loamy,2018,5
TGM,3,26E,3,Loamy,2018,2
TGM,3,26E,4,Loamy,2018,0
TGM,4,25SE,1,Loamy,2018,3
TGM,4,25SE,2,Loamy,2018,3
TGM,4,25SE,3,Loamy,2018,4
TGM,4,25SE,4,Loamy,2018,0
TGM,5,31E,1,Loamy,2018,1
TGM,5,31E,2,Loamy,2018,4
TGM,5,31E,3,Loamy,2018,4
TGM,5,31E,4,Sandy,2018,1
TGM,6,19N,1,Sandy,2018,2
TGM,6,19N,2,Sandy,2018,4
TGM,6,19N,3,Sandy,2018,2
TGM,6,19N,4,Sandy,2018,2
TGM,7,7NW,1,Loamy,2018,4
TGM,7,7NW,2,Loamy,2018,4
TGM,7,7NW,3,Sandy,2018,6
TGM,7,7NW,4,Loamy,2018,2
TGM,7,7NW,5,Salt Flats,2018,3
TGM,7,7NW,6,Salt Flats,2018,3
TGM,8,5E,1,Loamy,2018,2
TGM,8,5E,2,Sandy,2018,2
TGM,8,5E,3,Loamy,2018,4
TGM,8,5E,4,Sandy,2018,4
TGM,9,17N,1,Loamy,2018,4
TGM,9,17N,2,Loamy,2018,0
TGM,9,17N,3,Salt Flats,2018,7
TGM,9,17N,4,Salt Flats,2018,7
TGM,9,17N,5,Sandy,2018,2
TGM,9,17N,6,Sandy,2018,4
TGM,10,20SE,1,Sandy,2018,5
TGM,10,20SE,2,Sandy,2018,2
TGM,10,20SE,3,Sandy,2018,6
TGM,10,20SE,5,Salt Flats,2018,7
TGM,10,20SE,6,Salt Flats,2018,7
TGM,10,20SE,4,Sandy,2018,2
AGM,1,NH,1,Loamy,2019,1
AGM,1,NH,2,Loamy,2019,0
AGM,1,NH,3,Loamy,2019,0
AGM,1,NH,4,Loamy,2019,0
AGM,2,21N,1,Loamy,2019,4
AGM,2,21N,2,Loamy,2019,0
AGM,2,21N,3,Loamy,2019,2
AGM,2,21N,4,Loamy,2019,2
AGM,3,26W,1,Loamy,2019,1
AGM,3,26W,2,Loamy,2019,0
AGM,3,26W,3,Loamy,2019,0
AGM,3,26W,4,Loamy,2019,0
AGM,4,25NW,1,Loamy,2019,0
AGM,4,25NW,2,Loamy,2019,0
AGM,4,25NW,3,Loamy,2019,1
AGM,4,25NW,4,Loamy,2019,1
AGM,5,31W,1,Loamy,2019,2
AGM,5,31W,2,Loamy,2019,0
AGM,5,31W,3,Loamy,2019,5
AGM,5,31W,4,Sandy,2019,4
AGM,6,18S,1,Sandy,2019,0
AGM,6,18S,2,Sandy,2019,1
AGM,6,18S,3,Sandy,2019,0
AGM,6,18S,4,Sandy,2019,0
AGM,6,18S,5,Sandy,2019,1
AGM,6,18S,6,Sandy,2019,1
AGM,7,7SE,1,Loamy,2019,0
AGM,7,7SE,2,Loamy,2019,0
AGM,7,7SE,3,Loamy,2019,0
AGM,7,7SE,4,Sandy,2019,0
AGM,7,7SE,5,Salt Flats,2019,0
AGM,7,7SE,6,Salt Flats,2019,2
AGM,8,8E,1,Loamy,2019,0
AGM,8,8E,2,Sandy,2019,0
AGM,8,8E,3,Loamy,2019,0
AGM,8,8E,4,Sandy,2019,0
AGM,9,17S,1,Loamy,2019,0
AGM,9,17S,2,Loamy,2019,0
AGM,9,17S,3,Salt Flats,2019,4
AGM,9,17S,4,Salt Flats,2019,2
AGM,9,17S,5,Sandy,2019,1
AGM,9,17S,6,Sandy,2019,3
AGM,10,20NW,1,Sandy,2019,0
AGM,10,20NW,2,Sandy,2019,1
AGM,10,20NW,3,Sandy,2019,4
AGM,10,20NW,4,Sandy,2019,0
AGM,10,20NW,5,Salt Flats,2019,6
AGM,10,20NW,6,Salt Flats,2019,8
TGM,1,15E,1,Loamy,2019,0
TGM,1,15E,2,Loamy,2019,0
TGM,1,15E,3,Loamy,2019,0
TGM,1,15E,4,Loamy,2019,0
TGM,2,24W,1,Loamy,2019,0
TGM,2,24W,2,Loamy,2019,0
TGM,2,24W,3,Loamy,2019,0
TGM,2,24W,4,Loamy,2019,0
TGM,3,26E,1,Loamy,2019,0
TGM,3,26E,2,Loamy,2019,0
TGM,3,26E,3,Loamy,2019,0
TGM,3,26E,4,Loamy,2019,0
TGM,4,25SE,1,Loamy,2019,0
TGM,4,25SE,2,Loamy,2019,0
TGM,4,25SE,3,Loamy,2019,0
TGM,4,25SE,4,Loamy,2019,0
TGM,5,31E,1,Loamy,2019,0
TGM,5,31E,2,Loamy,2019,0
TGM,5,31E,3,Loamy,2019,1
TGM,5,31E,4,Sandy,2019,2
TGM,6,19N,1,Sandy,2019,1
TGM,6,19N,2,Sandy,2019,0
TGM,6,19N,3,Sandy,2019,0
TGM,6,19N,4,Sandy,2019,1
TGM,7,7NW,1,Loamy,2019,0
TGM,7,7NW,2,Loamy,2019,0
TGM,7,7NW,3,Sandy,2019,0
TGM,7,7NW,4,Loamy,2019,0
TGM,7,7NW,5,Salt Flats,2019,2
TGM,7,7NW,6,Salt Flats,2019,3
TGM,8,5E,1,Loamy,2019,1
TGM,8,5E,2,Sandy,2019,3
TGM,8,5E,3,Loamy,2019,0
